feature,dtype,n_rows,n_missing,missing_pct,n_unique,expected_direction,observed_direction,direction_status,pearson_correlation,single_feature_auc,min,max,mean,median,std,is_numeric,is_categorical,strong_signal,requires_review,review_reason
delinquency_score,int64,51336,0,0.0,289,HIGHER_VALUE_INCREASES_RISK,HIGHER_VALUE_INCREASES_RISK,CONSISTENT,0.08633583341209376,0.619165294892984,0.0,571.0,7.4690081034751445,0.0,25.492086478131306,True,False,False,False,
num_times_delinquent,int64,51336,0,0.0,64,HIGHER_VALUE_INCREASES_RISK,HIGHER_VALUE_INCREASES_RISK,CONSISTENT,0.0924068605935343,0.617655867575023,0.0,74.0,1.5737494156147733,0.0,4.165011667658381,True,False,False,False,
num_times_30p_dpd,int64,51336,0,0.0,52,HIGHER_VALUE_INCREASES_RISK,HIGHER_VALUE_INCREASES_RISK,CONSISTENT,0.08270182988022307,0.559578229314417,0.0,60.0,0.7288842138070749,0.0,2.7621204974268907,True,False,False,False,
num_times_60p_dpd,int64,51336,0,0.0,43,HIGHER_VALUE_INCREASES_RISK,WEAK_OR_NON_MONOTONIC,WEAK_ASSOCIATION,0.07098414986153398,0.5350777712022247,0.0,52.0,0.42697132616487454,0.0,2.101404241395775,True,False,False,False,
total_missed_payments,int64,51336,0,0.0,22,HIGHER_VALUE_INCREASES_RISK,WEAK_OR_NON_MONOTONIC,WEAK_ASSOCIATION,0.022206432070365788,0.5240056292932946,0.0,34.0,0.5467508181393175,0.0,1.085529083527789,True,False,False,False,
missed_payment_ratio,float64,51336,0,0.0,319,HIGHER_VALUE_INCREASES_RISK,WEAK_OR_NON_MONOTONIC,WEAK_ASSOCIATION,0.057510076507112345,0.5304237824133213,0.0,1.0,0.13402001047953913,0.0,0.2574995214397877,True,False,False,False,
monthly_income_inr,int64,51336,0,0.0,1316,HIGHER_VALUE_DECREASES_RISK,WEAK_OR_NON_MONOTONIC,WEAK_ASSOCIATION,0.004307460053934661,0.5046043182289073,0.0,2500000.0,26424.18563970703,23000.0,20027.108840759396,True,False,False,False,
income_tier,object,51336,0,0.0,5,AMBIGUOUS,CATEGORICAL,CATEGORICAL,,,,,,,,False,True,False,False,
total_loans,int64,51336,0,0.0,107,AMBIGUOUS,WEAK_OR_NON_MONOTONIC,AMBIGUOUS_EXPECTATION,-0.0228620261958303,0.4897549442563659,1.0,235.0,4.858598254636123,2.0,7.177115570841698,True,False,False,False,
active_loans,int64,51336,0,0.0,32,AMBIGUOUS,WEAK_OR_NON_MONOTONIC,AMBIGUOUS_EXPECTATION,0.024224567159291388,0.5189348500576656,0.0,47.0,2.0881837307152877,1.0,2.2907736153353744,True,False,False,False,
closed_loans,int64,51336,0,0.0,100,HIGHER_VALUE_DECREASES_RISK,WEAK_OR_NON_MONOTONIC,WEAK_ASSOCIATION,-0.0369552746345126,0.45327349968483893,0.0,216.0,2.7704145239208353,1.0,5.941679656128071,True,False,False,False,
active_loan_ratio,float64,51336,0,0.0,503,AMBIGUOUS,WEAK_OR_NON_MONOTONIC,AMBIGUOUS_EXPECTATION,0.07576346802963875,0.5485234244419035,0.0,1.0,0.5775379047410817,0.5555555555555556,0.37986265647242173,True,False,False,False,
loan_type_diversity,int8,51336,0,0.0,7,AMBIGUOUS,WEAK_OR_NON_MONOTONIC,AMBIGUOUS_EXPECTATION,0.027128998120748003,0.5214983612958187,0.0,6.0,1.4670991117344554,1.0,0.9623721382385128,True,False,False,False,
gold_loans,int64,51336,0,0.0,97,AMBIGUOUS,WEAK_OR_NON_MONOTONIC,AMBIGUOUS_EXPECTATION,-0.014680273465297912,0.4726129361786213,0.0,235.0,1.5618474364968054,0.0,5.376433890866704,True,False,False,False,
home_loans,int64,51336,0,0.0,9,AMBIGUOUS,WEAK_OR_NON_MONOTONIC,AMBIGUOUS_EXPECTATION,-0.05803887289768709,0.4856803144264659,0.0,10.0,0.07014570671653421,0.0,0.3408605896294774,True,False,False,False,
personal_loans,int64,51336,0,0.0,21,AMBIGUOUS,WEAK_OR_NON_MONOTONIC,AMBIGUOUS_EXPECTATION,0.009214142326356782,0.5119010209823176,0.0,29.0,0.2825112981143837,0.0,0.8581675345499552,True,False,False,False,
credit_card_loans,int64,51336,0,0.0,15,AMBIGUOUS,WEAK_OR_NON_MONOTONIC,AMBIGUOUS_EXPECTATION,0.011564173805945642,0.5072580264597633,0.0,27.0,0.12498052049244195,0.0,0.5052008652987803,True,False,False,False,
auto_loans,int64,51336,0,0.0,17,AMBIGUOUS,WEAK_OR_NON_MONOTONIC,AMBIGUOUS_EXPECTATION,-0.05986648087425435,0.4634698400336023,0.0,27.0,0.5932678821879382,0.0,0.9005851087673602,True,False,False,False,
secured_loans,int64,51336,0,0.0,103,HIGHER_VALUE_DECREASES_RISK,HIGHER_VALUE_DECREASES_RISK,CONSISTENT,-0.051588408909188116,0.42247722162073564,0.0,235.0,2.8449041608228143,1.0,6.187176713321163,True,False,False,False,
unsecured_loans,int64,51336,0,0.0,49,HIGHER_VALUE_INCREASES_RISK,HIGHER_VALUE_INCREASES_RISK,CONSISTENT,0.04849517327471003,0.560474198870447,0.0,55.0,2.0136940938133083,1.0,3.198322381704319,True,False,False,False,
age,int64,51336,0,0.0,47,AMBIGUOUS,HIGHER_VALUE_DECREASES_RISK,AMBIGUOUS_EXPECTATION,-0.13909874516420098,0.40584164150036806,21.0,77.0,33.758532024310426,32.0,8.816363787795531,True,False,False,False,
gender,object,51336,0,0.0,2,AMBIGUOUS,CATEGORICAL,CATEGORICAL,,,,,,,,False,True,False,False,
education,object,51336,0,0.0,6,AMBIGUOUS,CATEGORICAL,CATEGORICAL,,,,,,,,False,True,False,False,
marital_status,object,51336,0,0.0,2,AMBIGUOUS,CATEGORICAL,CATEGORICAL,,,,,,,,False,True,False,False,
age_band,object,51336,0,0.0,5,AMBIGUOUS,CATEGORICAL,CATEGORICAL,,,,,,,,False,True,False,False,
credit_history_months,float64,51336,40,0.0779,294,HIGHER_VALUE_DECREASES_RISK,HIGHER_VALUE_DECREASES_RISK,CONSISTENT,-0.21407503729118751,0.3560095132412692,0.0,392.0,45.37696896444167,33.0,41.7371514938296,True,False,False,False,
has_gold_loan,bool,51336,0,0.0,2,AMBIGUOUS,WEAK_OR_NON_MONOTONIC,AMBIGUOUS_EXPECTATION,-0.054669255702130035,0.4722886033478443,0.0,1.0,0.27111578619292503,0.0,0.44454006133269364,True,False,False,False,
has_home_loan,bool,51336,0,0.0,2,AMBIGUOUS,WEAK_OR_NON_MONOTONIC,AMBIGUOUS_EXPECTATION,-0.055615988896936294,0.48580671000658693,0.0,1.0,0.05288686302010285,0.0,0.22380978192311654,True,False,False,False,
has_personal_loan,bool,51336,0,0.0,2,AMBIGUOUS,WEAK_OR_NON_MONOTONIC,AMBIGUOUS_EXPECTATION,0.03013806850333278,0.5128443067347186,0.0,1.0,0.1678743961352657,0.0,0.37375835034581445,True,False,False,False,
has_credit_card,bool,51336,0,0.0,2,AMBIGUOUS,WEAK_OR_NON_MONOTONIC,AMBIGUOUS_EXPECTATION,0.02241510236345232,0.5072951427161551,0.0,1.0,0.08946937821411875,0.0,0.28542283632790955,True,False,False,False,
