original_feature,mean_abs_shap,mean_shap,importance_rank
recent_enquiries_6m,1.0857222080230713,-0.24126684665679932,1
delinquency_score,0.7386266589164734,-0.154035747051239,2
credit_history_months,0.43954941630363464,-0.09075511246919632,3
active_loans,0.16897174715995789,0.017435483634471893,4
recent_enquiries_12m,0.16472169756889343,-0.029574960470199585,5
secured_loans,0.15381348133087158,-0.006982874125242233,6
num_times_delinquent,0.12716589868068695,-0.009111626073718071,7
active_loan_ratio,0.11038155853748322,0.016438687220215797,8
num_times_60p_dpd,0.07971134781837463,-0.017292868345975876,9
total_enquiries,0.06756266951560974,-0.006064445246011019,10
gold_loans,0.039125554263591766,-0.01322978176176548,11
closed_loans,0.038782909512519836,0.0009055080590769649,12
loan_type_diversity,0.03717614710330963,-0.005536481272429228,13
education,0.03431314253248274,-0.00040394538518739864,14
personal_loans,0.03006901778280735,-0.0007475731545127928,15
monthly_income_inr,0.028641028329730034,0.00199997634626925,16
missed_payment_ratio,0.027876483276486397,-0.0027140213642269373,17
home_loans,0.02513991668820381,-0.0047511151060462,18
age,0.024018924683332443,-0.0002960911369882524,19
gender,0.021676163654774427,-0.00046229857252910733,20
unsecured_loans,0.020667169243097305,-0.001071359496563673,21
income_tier,0.009276347162085585,-0.0002572867890648922,22
credit_card_loans,0.008944375440478325,0.00036728419945575297,23
total_missed_payments,0.008270096965134144,6.366705747495871e-06,24
marital_status,0.00823885714635253,-0.00033268048719037324,25
auto_loans,0.008098709397017956,-0.0016273586079478264,26
has_home_loan,0.005696761887520552,-0.0008854421903379261,27
has_gold_loan,0.003771512652747333,-0.0021847818279638886,28
has_personal_loan,0.0023332037962973118,-5.454564234241843e-05,29
has_credit_card,0.0007150193268898875,-0.00018048335914500058,30
