group_type,metric,range
cibil_band,f1,0.9803921568627451
cibil_band,recall,0.9615384615384616
cibil_band,pr_auc,0.5812072091980561
cibil_band,roc_auc,0.27778584965979114
age_band,recall,0.1650516384036721
income_tier,recall,0.13509155821720598
income_tier,pr_auc,0.13447302113998838
age_band,pr_auc,0.13300348392675554
education,recall,0.11934154305062883
age_band,f1,0.11382572743677433
income_tier,f1,0.11274878967186663
education,f1,0.10325396595226355
age_band,specificity,0.0908221408221408
cibil_band,specificity,0.08441585675994101
marital_status,recall,0.07879544390700577
education,pr_auc,0.07625172933661595
marital_status,pr_auc,0.07219447752329522
cibil_band,brier_score,0.06496631273063717
marital_status,f1,0.058504586863824204
age_band,brier_score,0.05756618222989611
gender,recall,0.05558376406202492
income_tier,roc_auc,0.054056317513958674
marital_status,specificity,0.03762742176084677
education,roc_auc,0.02662792198684305
education,brier_score,0.021051430758289316
income_tier,brier_score,0.020495813078102887
age_band,roc_auc,0.019938160120488324
education,specificity,0.018520071271355243
marital_status,brier_score,0.01764630864613491
income_tier,specificity,0.012567470299620687
gender,f1,0.012355884053176558
gender,specificity,0.009992391946905377
gender,brier_score,0.009228102753140469
gender,roc_auc,0.00555454603712946
marital_status,roc_auc,0.003924554556361204
gender,pr_auc,0.0012541545738700144
