threshold,accuracy,precision,recall,specificity,f1,false_positive_rate,false_negative_rate,actual_default_rate,predicted_default_rate,actual_defaults,predicted_defaults,actual_non_defaults,true_negatives,false_positives,false_negatives,true_positives,expected_loss_proxy
0.1,0.7015971951694585,0.4634101382488479,0.9426321709786277,0.6170240757795027,0.6213544241225902,0.3829759242204973,0.05736782902137233,0.2597389949357226,0.5283404752629529,2667,5425,7601,4690,2911,153,2514,0.358005453837164
0.11,0.7164978574211142,0.4767884322678843,0.9396325459317585,0.638205499276411,0.6325886659093778,0.361794500723589,0.06036745406824147,0.2597389949357226,0.5118815738215816,2667,5256,7601,4851,2750,161,2506,0.3462212699649396
0.12,0.7293533307362681,0.4889937106918239,0.932883389576303,0.6579397447704249,0.6416505480335267,0.34206025522957506,0.06711661042369704,0.2597389949357226,0.4955200623295676,2667,5088,7601,5001,2600,179,2488,0.340377873003506
0.13,0.7383132060771328,0.49798468359532444,0.926509186351706,0.6722799631627417,0.6477913225848735,0.32772003683725826,0.07349081364829396,0.2597389949357226,0.4832489287105571,2667,4962,7601,5110,2491,196,2471,0.3380405142189326
0.14,0.7455200623295676,0.5055601317957167,0.9205099362579677,0.6841205104591501,0.652665160175462,0.3158794895408499,0.07949006374203224,0.2597389949357226,0.47292559407869106,2667,4856,7601,5200,2401,212,2455,0.33706661472536037
0.15,0.753408648227503,0.5142675967025999,0.9122609673790776,0.6976713590317064,0.6577453365774534,0.30232864096829365,0.08773903262092239,0.2597389949357226,0.46075185040903777,2667,4731,7601,5303,2298,234,2433,0.33774834437086093
0.16,0.7621737436696533,0.5243981782693559,0.906636670416198,0.7114853308775161,0.6644682605111294,0.28851466912248386,0.09336332958380203,0.2597389949357226,0.4490650564861706,2667,4611,7601,5408,2193,249,2418,0.33482664589014416
0.17,0.7686988702765875,0.5323581560283688,0.9006374203224597,0.7224049467175372,0.6691739796629057,0.2775950532824628,0.09936257967754031,0.2597389949357226,0.4394234514998052,2667,4512,7601,5491,2110,265,2402,0.3345344760420725
0.18,0.7741527074405922,0.5394557823129251,0.8920134983127109,0.7327983160110512,0.672318779143705,0.26720168398894883,0.10798650168728909,0.2597389949357226,0.42948967666536814,2667,4410,7601,5570,2031,288,2379,0.3380405142189326
0.19,0.7799961044020257,0.5473098330241187,0.8848893888263967,0.7431916853045651,0.6763146582604957,0.2568083146954348,0.1151106111736033,0.2597389949357226,0.41994546162835994,2667,4312,7601,5649,1952,307,2360,0.3395987534086482
0.2,0.7862290611608882,0.5561103185924869,0.8770153730783652,0.7543744244178398,0.6806343663611233,0.24562557558216025,0.1229846269216348,0.2597389949357226,0.409622126996494,2667,4206,7601,5734,1867,328,2339,0.34154655239579274
0.21,0.7931437475652513,0.56607447067413,0.8721409823772028,0.7654256018944876,0.6865407319952774,0.23457439810551242,0.12785901762279714,0.2597389949357226,0.400175301908843,2667,4109,7601,5818,1783,341,2326,0.33969614335800546
0.22,0.7987923646279704,0.575068698476143,0.8631421072365955,0.7762136560978818,0.6902548725637181,0.22378634390211813,0.13685789276340457,0.2597389949357226,0.389851967276977,2667,4003,7601,5900,1701,365,2302,0.34339696143358006
0.23,0.8038566419945462,0.5836964880799795,0.8537682789651294,0.7863439021181423,0.6933617539585871,0.21365609788185766,0.14623172103487064,0.2597389949357226,0.37991819244253994,2667,3901,7601,5977,1624,390,2277,0.3480716790027269
0.24,0.8082391897156214,0.5918904686677199,0.8428946381702287,0.7960794632285225,0.6954369682907966,0.20392053677147745,0.15710536182977128,0.2597389949357226,0.3698870276587456,2667,3798,7601,6051,1550,419,2248,0.35498636540709
0.25,0.8104791585508375,0.5968305130271286,0.833145856767904,0.8025259834232338,0.6954616588419406,0.19747401657676622,0.166854143232096,0.2597389949357226,0.36258278145695366,2667,3723,7601,6100,1501,445,2222,0.36287495130502534
0.26,0.8147643163225555,0.6052269601100413,0.8248968878890138,0.8112090514406,0.6981910504601714,0.18879094855940007,0.17510311211098611,0.2597389949357226,0.3540124659135177,2667,3635,7601,6166,1435,467,2200,0.3671601090767433
0.27,0.8191468640436307,0.6140202702702703,0.8177727784026997,0.8196289961847125,0.7013989387361312,0.18037100381528745,0.18222722159730034,0.2597389949357226,0.34592910011686795,2667,3552,7601,6230,1371,486,2181,0.37017919750681727
0.28,0.8211920529801324,0.6192252510760402,0.8091488563929509,0.82541770819629,0.7015604681404422,0.17458229180371004,0.1908511436070491,0.2597389949357226,0.3394039735099338,2667,3485,7601,6274,1327,509,2158,0.37709388391118037
0.29,0.8229450720685625,0.623941605839416,0.8012748406449194,0.8305486120247336,0.7015758371634931,0.1694513879752664,0.19872515935508062,0.2597389949357226,0.3335605765485002,2667,3425,7601,6313,1288,530,2137,0.3835216205687573
0.3,0.8249902610050642,0.6292335115864528,0.7941507311586051,0.835811077489804,0.7021382396817504,0.16418892251019604,0.20584926884139482,0.2597389949357226,0.32781456953642385,2667,3366,7601,6353,1248,549,2118,0.3888780677834048
0.31,0.8270354499415661,0.6347957639939485,0.7866516685414323,0.8412051045915011,0.7026121902210315,0.1587948954084989,0.21334833145856769,0.2597389949357226,0.32187378262563304,2667,3305,7601,6394,1207,569,2098,0.3946240747954811
0.32,0.8293728087261395,0.6412472985489348,0.7787776527934008,0.8471253782397054,0.7033525228581105,0.1528746217602947,0.22122234720659917,0.2597389949357226,0.3154460459680561,2667,3239,7601,6439,1162,590,2077,0.40046747175691466
0.33,0.8311258278145696,0.6462841015992474,0.7727784026996626,0.8515984738850151,0.7038934426229508,0.14840152611498486,0.22722159730033745,0.2597389949357226,0.3105765485001948,2667,3189,7601,6473,1128,606,2061,0.4049474094273471
0.34,0.8327814569536424,0.651370299553856,0.7664041994750657,0.8560715695303249,0.7042204995693367,0.14392843046967504,0.2335958005249344,0.2597389949357226,0.3056096610829762,2667,3138,7601,6507,1094,623,2044,0.40991429684456565
0.35,0.8351188157382158,0.6582196231319039,0.7596550431196101,0.8615971582686489,0.7053089643167972,0.13840284173135114,0.24034495688038995,0.2597389949357226,0.29976626412154267,2667,3078,7601,6549,1052,641,2026,0.4145890144137125
