row_index,borrower_id,feature,rank,shap_value,absolute_shap,direction,feature_value
25432,25433,credit_history_months,1,-2.9295763969421387,2.9295763969421387,decreases_risk,172.0
25432,25433,recent_enquiries_6m,2,1.8822704553604126,1.8822704553604126,increases_risk,8.0
25432,25433,personal_loans,3,-0.788161039352417,0.788161039352417,decreases_risk,5
25432,25433,delinquency_score,4,0.41608524322509766,0.41608524322509766,increases_risk,12
25432,25433,active_loans,5,-0.323433518409729,0.323433518409729,decreases_risk,7
25432,25433,secured_loans,6,0.20433801412582397,0.20433801412582397,increases_risk,0
25432,25433,age,7,0.19262799620628357,0.19262799620628357,increases_risk,47
25432,25433,active_loan_ratio,8,-0.17362311482429504,0.17362311482429504,decreases_risk,0.7
25432,25433,gender,9,0.1496074367314577,0.1496074367314577,increases_risk,F
25432,25433,closed_loans,10,-0.1106957197189331,0.1106957197189331,decreases_risk,3
19475,19476,delinquency_score,1,1.2066198587417603,1.2066198587417603,increases_risk,15
19475,19476,active_loan_ratio,2,0.5191423296928406,0.5191423296928406,increases_risk,0.0
19475,19476,recent_enquiries_6m,3,-0.3634151518344879,0.3634151518344879,decreases_risk,1.0
19475,19476,secured_loans,4,-0.2841850817203522,0.2841850817203522,decreases_risk,4
19475,19476,active_loans,5,0.2784128487110138,0.2784128487110138,increases_risk,0
19475,19476,credit_history_months,6,0.21398359537124634,0.21398359537124634,increases_risk,47.0
19475,19476,gold_loans,7,-0.07929243892431259,0.07929243892431259,decreases_risk,0
19475,19476,num_times_60p_dpd,8,-0.0635937750339508,0.0635937750339508,decreases_risk,0
19475,19476,total_enquiries,9,0.06300553679466248,0.06300553679466248,increases_risk,2.0
19475,19476,recent_enquiries_12m,10,0.05908798798918724,0.05908798798918724,increases_risk,1.0
47591,47592,recent_enquiries_6m,1,3.252373695373535,3.252373695373535,increases_risk,11.0
47591,47592,personal_loans,2,-0.6720062494277954,0.6720062494277954,decreases_risk,4
47591,47592,delinquency_score,3,-0.553228497505188,0.553228497505188,decreases_risk,0
47591,47592,recent_enquiries_12m,4,0.2705710828304291,0.2705710828304291,increases_risk,17.0
47591,47592,active_loans,5,0.21139998733997345,0.21139998733997345,increases_risk,1
47591,47592,closed_loans,6,-0.12936528027057648,0.12936528027057648,decreases_risk,4
47591,47592,active_loan_ratio,7,0.11819876730442047,0.11819876730442047,increases_risk,0.2
