group_type,group,sample_size,default_count,non_default_count,default_rate,mean_predicted_probability,roc_auc,pr_auc,brier_score,precision,recall,specificity,false_positive_rate,false_negative_rate,f1,true_negatives,false_positives,false_negatives,true_positives
overall,ALL,10268,2667,,0.2597389949357226,0.25974395871162415,0.8976265481615483,0.7781203574545373,0.10698300148330141,0.7465963987703118,0.6374203224596925,0.9240889356663596,0.07591106433364031,0.36257967754030745,0.6877022653721683,7024,577,967,1700
gender,F,1184,275,909.0,0.23226351351351351,0.2600222108515949,0.9027622762276228,0.7775853838748688,0.09881898854000595,0.7105263157894737,0.6872727272727273,0.9152915291529153,0.0847084708470847,0.31272727272727274,0.6987060998151571,832,77,86,189
gender,M,9084,2392,6692.0,0.2633201232937032,0.25970768506367226,0.8972077301904934,0.7788395384487388,0.10804709129314642,0.7513674788662357,0.6316889632107023,0.9252839210998207,0.07471607890017933,0.36831103678929766,0.6863502157619805,6192,500,881,1511
age_band,25_to_34,4638,1345,3293.0,0.289995687796464,0.2928819672667705,0.8917829529123962,0.788263649625416,0.11647955249961825,0.7416107382550335,0.6572490706319702,0.9064682660188278,0.09353173398117218,0.34275092936802976,0.6968860859282617,2985,308,461,884
age_band,35_to_44,2811,595,2216.0,0.21166844539309854,0.20672040713628956,0.8873194945848375,0.715914122222168,0.09930777324151512,0.7399103139013453,0.5546218487394958,0.9476534296028881,0.052346570397111915,0.44537815126050423,0.6340057636887608,2100,116,265,330
age_band,45_to_54,1129,190,939.0,0.1682905225863596,0.17423819142341798,0.8965136483380977,0.7094890236711731,0.08131603945732781,0.7058823529411765,0.5684210526315789,0.952076677316294,0.04792332268370607,0.43157894736842106,0.6297376093294461,894,45,82,108
age_band,55_plus,239,31,208.0,0.1297071129707113,0.13241124037890908,0.8852357320099256,0.7371494038812876,0.06140876076939544,0.8095238095238095,0.5483870967741935,0.9807692307692307,0.019230769230769232,0.45161290322580644,0.6538461538461539,204,4,14,17
age_band,under_25,1451,506,945.0,0.3487250172294969,0.34404691630303036,0.9051738921304139,0.8424925075979286,0.11897494299929155,0.7763440860215054,0.7134387351778656,0.8899470899470899,0.11005291005291006,0.2865612648221344,0.7435633367662204,841,104,145,361
education,12TH,2898,748,2150.0,0.2581090407177364,0.25399356358869385,0.8890194005720681,0.7492648936759574,0.11256671786229809,0.7405582922824302,0.6029411764705882,0.9265116279069767,0.07348837209302325,0.39705882352941174,0.664701547531319,1992,158,297,451
education,GRADUATE,3308,919,2389.0,0.27781136638452236,0.27687064894668456,0.9030212376183733,0.8031232252369606,0.10681032003072484,0.7643391521197007,0.6670293797606094,0.9208874005860193,0.07911259941398074,0.33297062023939067,0.7123765252760024,2200,189,306,613
education,OTHERS,1688,443,1245.0,0.26244075829383884,0.26758641471740924,0.9095125422683963,0.8128621451394225,0.0998154481655532,0.7713567839195979,0.6930022573363431,0.9269076305220884,0.07309236947791165,0.30699774266365687,0.7300832342449465,1154,91,136,307
education,POST_GRADUATE,431,102,329.0,0.23665893271461716,0.23278850428770856,0.9119435008045771,0.8045376471773158,0.09151528710400877,0.7701149425287356,0.6568627450980392,0.939209726443769,0.060790273556231005,0.3431372549019608,0.708994708994709,309,20,35,67
education,SSC,1898,448,1450.0,0.23603793466807166,0.2377130608998084,0.885315578817734,0.7366104158028065,0.10842568550000865,0.6908602150537635,0.5736607142857143,0.9206896551724137,0.07931034482758621,0.4263392857142857,0.6268292682926829,1335,115,191,257
marital_status,MARRIED,7562,1768,5794.0,0.23380058185665167,0.23565227973625394,0.894397260311416,0.7522234341223012,0.10233254270957033,0.7356948228882834,0.6108597285067874,0.9330341732827062,0.06696582671729376,0.3891402714932127,0.6674907292954264,5406,388,688,1080
marital_status,SINGLE,2706,899,1807.0,0.33222468588322246,0.32706887265378215,0.8983218148677772,0.8244179116455964,0.11997885135570524,0.7663782447466008,0.6896551724137931,0.8954067515218594,0.10459324847814057,0.3103448275862069,0.7259953161592506,1618,189,279,620
income_tier,low,5820,1567,4253.0,0.2692439862542955,0.2680825076756048,0.8975030351337268,0.7881066791385216,0.10821383923177308,0.75037147102526,0.6445437141033823,0.9209969433341171,0.0790030566658829,0.35545628589661776,0.6934431857191898,3917,336,557,1010
income_tier,middle,2310,579,1731.0,0.2506493506493506,0.2462457499820618,0.9118502487904703,0.7980150404849794,0.0988543992998641,0.7619047619047619,0.6355785837651122,0.9335644136337378,0.06643558636626228,0.3644214162348877,0.6930320150659134,1616,115,211,368
income_tier,upper_middle,202,57,145.0,0.28217821782178215,0.2920403009889149,0.9292196007259528,0.8407241168932805,0.09398729884168866,0.7924528301886793,0.7368421052631579,0.9241379310344827,0.07586206896551724,0.2631578947368421,0.7636363636363637,134,11,15,42
income_tier,very_low,1906,457,1449.0,0.2397691500524659,0.2468013100297721,0.8751632832119941,0.7062510957532921,0.11448311191979155,0.7087628865979382,0.6017505470459519,0.9220151828847482,0.0779848171152519,0.3982494529540481,0.650887573964497,1336,113,182,275
cibil_band,fair,520,520,0.0,1.0,0.8400627131717137,,,0.05011835634214029,1.0,0.9615384615384616,,,0.038461538461538464,0.9803921568627451,0,0,20,500
cibil_band,good,8358,2028,6330.0,0.24264178033022255,0.2586745552297271,0.8876587958159232,0.6933892440740892,0.11508466907277747,0.6770538243626062,0.5892504930966469,0.909952606635071,0.09004739336492891,0.41074950690335305,0.6301080938571052,5760,570,833,1195
cibil_band,very_good,1354,111,1243.0,0.08197932053175776,0.046271211339574875,0.6098729461561321,0.11218203487603302,0.07947057345349355,0.0,0.0,0.9943684633950121,0.0056315366049879325,1.0,0.0,1236,7,111,0
